player_name,team,year,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
¬f¯Ç«Ò¨º,lamigo,19,24,106,90,19,23,5,0,2,11,6,2,14,15,0.256,0.358,0.378,0.736,34,2,1,0,1,1
³¯±á«Â,lamigo,19,87,402,357,63,107,8,11,5,32,22,7,34,55,0.3,0.362,0.426,0.788,152,1,2,7,2,1
³¯«T¨q,lamigo,19,103,431,381,87,145,21,2,22,89,2,1,46,59,0.381,0.449,0.619,1.068,236,8,2,1,1,4
¦¨®Ê,lamigo,19,6,10,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,1,0,0,0
¶À·qÞ³,lamigo,19,48,125,111,17,29,3,1,2,15,0,4,8,23,0.261,0.32,0.36,0.68,40,0,2,3,1,1
³¢ÄY¤å,lamigo,19,114,478,426,59,138,26,0,17,94,0,3,32,65,0.324,0.368,0.505,0.873,215,11,3,8,9,1
³¢¥Ãºû,lamigo,19,12,28,27,1,4,1,0,0,2,0,0,0,6,0.148,0.148,0.185,0.333,5,0,0,1,0,0
ÂÅ±G­Û,lamigo,19,113,489,443,73,141,25,1,10,65,7,4,21,59,0.318,0.364,0.447,0.811,198,6,13,8,4,4
±ç®aºa,lamigo,19,44,99,85,9,20,4,0,2,13,0,0,6,15,0.235,0.32,0.353,0.673,30,1,5,2,1,0
¹ù°·´I,lamigo,19,95,334,282,42,82,12,0,6,49,1,1,39,34,0.291,0.381,0.397,0.779,112,8,6,1,6,2
ªL©Ó­¸,lamigo,19,83,279,256,43,71,12,1,14,46,0,4,17,74,0.277,0.325,0.496,0.821,127,5,2,2,2,0
ªLªl¨|,lamigo,19,112,490,434,106,152,24,0,26,95,0,0,27,70,0.35,0.416,0.585,1.002,254,11,25,0,4,4
ªL¥ß,lamigo,19,103,443,388,97,151,29,4,20,81,9,5,33,72,0.389,0.438,0.639,1.077,248,9,5,11,6,2
ªL´¼¥­,lamigo,19,39,96,86,7,18,3,0,0,8,3,1,8,17,0.209,0.277,0.244,0.521,21,3,0,2,0,0
¼B®É»¨,lamigo,19,41,84,74,8,21,3,0,1,8,0,0,6,13,0.284,0.354,0.365,0.719,27,2,2,2,0,0
ªô¤¦,lamigo,19,12,26,24,2,5,1,0,0,1,0,0,2,5,0.208,0.269,0.25,0.519,6,0,0,0,0,0
³\¬êÀ¢,lamigo,19,11,22,21,3,4,1,0,0,2,0,0,1,11,0.19,0.227,0.238,0.465,5,0,0,0,0,0
·¨·ç©Ó,lamigo,19,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
¶§Ä£¾±,lamigo,19,39,79,72,12,19,4,0,3,10,0,1,7,19,0.264,0.329,0.444,0.774,32,2,0,0,0,1
¸­¦Ë°a,lamigo,19,13,28,24,2,6,1,0,1,2,2,0,3,5,0.25,0.333,0.417,0.75,10,1,0,1,0,0
§E¼wÀs,lamigo,19,54,132,119,30,38,6,2,1,10,2,1,10,18,0.319,0.372,0.429,0.801,51,3,0,3,0,0
¸â´¼³ó,lamigo,19,35,98,83,9,21,4,0,1,12,1,1,10,11,0.253,0.344,0.337,0.681,28,4,2,2,1,0
±i¶{³Ô,lamigo,19,14,40,36,6,12,3,0,0,6,0,0,2,5,0.333,0.375,0.417,0.792,15,1,1,0,1,0
Áé©Ó¯§,lamigo,19,34,82,78,11,21,1,1,2,7,0,0,3,22,0.269,0.296,0.385,0.681,30,0,0,1,0,0
¦¶¨|½å,lamigo,19,118,504,458,93,159,26,1,30,105,0,0,38,105,0.347,0.394,0.605,0.999,277,12,1,2,5,3
³¯¦¿©M,¥S§Ì,19,14,15,12,0,3,1,0,0,3,0,0,0,1,0.25,0.231,0.333,0.564,4,0,0,2,1,0
³¯°¶º~,¥S§Ì,19,32,68,67,11,15,0,0,0,7,1,5,0,11,0.224,0.224,0.224,0.448,15,3,0,1,0,0
³¯¤åªN,¥S§Ì,19,17,48,48,4,9,0,0,1,4,4,0,0,8,0.188,0.188,0.25,0.438,12,2,0,0,0,0
³¯¤l»¨,¥S§Ì,19,111,415,369,71,110,16,0,19,78,4,1,35,71,0.298,0.36,0.496,0.856,183,13,4,1,6,5
³¯¤lÂE,¥S§Ì,19,8,10,10,1,1,0,0,0,1,0,1,0,4,0.1,0.1,0.1,0.2,1,0,0,0,0,0
¶À¶vÁn,¥S§Ì,19,98,271,245,23,65,12,0,2,20,1,1,16,46,0.265,0.32,0.339,0.658,83,6,4,5,1,0
¦¿©[¦t,¥S§Ì,19,3,7,6,2,1,0,0,0,0,0,0,1,1,0.167,0.286,0.167,0.452,1,1,0,0,0,0
°ª¦tªN,¥S§Ì,19,50,102,94,14,27,8,0,1,13,0,1,4,21,0.287,0.33,0.404,0.734,38,2,2,2,0,0
¨½­},¥S§Ì,19,33,124,115,16,28,7,0,7,20,0,1,5,35,0.243,0.279,0.487,0.766,56,5,1,2,1,0
ªL´¼³Ó,¥S§Ì,19,108,428,378,67,110,13,1,26,78,2,2,31,107,0.291,0.359,0.537,0.896,203,6,11,5,3,3
ªL©úªN,¥S§Ì,19,43,55,50,7,13,4,0,1,7,1,0,4,12,0.26,0.315,0.4,0.715,20,0,0,1,0,0
ªL®Ñ¶h,¥S§Ì,19,64,161,143,31,35,7,2,3,16,4,3,14,32,0.245,0.325,0.385,0.71,55,1,3,1,0,0
¼ï§ÓªÚ,¥S§Ì,19,9,15,13,4,3,2,0,1,5,0,0,1,3,0.231,0.286,0.615,0.901,8,1,0,1,0,0
´^¬F¶{,¥S§Ì,19,92,326,288,29,87,18,0,2,34,1,0,29,40,0.302,0.367,0.385,0.753,111,7,3,2,4,2
Ä¬½n¹F,¥S§Ì,19,50,115,102,17,28,6,0,6,26,0,0,7,31,0.275,0.339,0.51,0.849,52,3,3,3,0,0
¤ý³Ó°¶,¥S§Ì,19,109,371,330,47,84,19,3,11,41,8,13,20,72,0.255,0.314,0.43,0.744,142,9,9,11,1,0
¤ý«Â±á,¥S§Ì,19,115,490,451,64,143,17,2,1,45,27,11,26,52,0.317,0.349,0.37,0.719,167,6,0,6,7,1
¦ã¾U§J,¥S§Ì,19,2,9,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
§dªF¿Ä,¥S§Ì,19,89,323,263,54,79,10,2,3,26,9,5,21,47,0.3,0.396,0.388,0.784,102,4,22,15,2,0
³\°ò§»,¥S§Ì,19,14,42,33,2,5,2,0,0,3,0,0,6,9,0.152,0.3,0.212,0.512,7,0,1,2,0,0
©¨ªFµØ,¥S§Ì,19,60,179,164,31,50,6,3,6,26,2,3,11,32,0.305,0.358,0.488,0.845,80,3,3,0,1,0
´¿³³Âè,¥S§Ì,19,30,46,43,8,11,2,0,0,2,1,1,3,10,0.256,0.304,0.302,0.607,13,2,0,0,0,0
¸â¤l½å,¥S§Ì,19,111,387,348,74,122,22,0,26,75,6,0,28,55,0.351,0.402,0.638,1.039,222,9,5,1,5,4
±i§Ó»¨,¥S§Ì,19,109,367,327,63,84,8,2,26,74,10,2,32,97,0.257,0.33,0.532,0.862,174,3,5,0,3,2
±i§Ó±j,¥S§Ì,19,16,35,30,2,6,1,1,0,2,0,0,4,4,0.2,0.294,0.3,0.594,9,0,0,1,0,0
©P«ä»ô,¥S§Ì,19,83,212,190,30,49,7,2,6,33,3,4,16,28,0.258,0.313,0.411,0.723,78,5,1,1,4,0
³¯³Í­Û,´I¨¹,19,59,149,135,21,35,8,0,3,14,3,1,6,31,0.259,0.315,0.385,0.7,52,3,5,3,0,0
³¯«~±¶,´I¨¹,19,67,221,186,30,48,5,3,5,20,4,1,30,45,0.258,0.361,0.398,0.759,74,3,1,2,2,2
½±´¼½å,´I¨¹,19,66,239,215,35,68,17,0,9,34,0,1,19,37,0.316,0.385,0.521,0.906,112,8,5,0,0,6
À¹°ö®p,´I¨¹,19,32,102,92,8,21,4,0,0,13,0,0,7,26,0.228,0.287,0.272,0.559,25,0,1,1,1,0
¤è§J°¶,´I¨¹,19,56,169,157,20,50,11,0,5,34,1,0,11,29,0.318,0.367,0.484,0.851,76,3,1,0,0,0
­S°ê®f,´I¨¹,19,39,120,103,12,21,2,0,1,7,0,0,12,28,0.204,0.299,0.252,0.552,26,1,2,3,0,1
­Jª÷¿Ä,´I¨¹,19,107,457,427,69,146,21,0,13,60,6,0,23,47,0.342,0.374,0.482,0.857,206,8,1,3,3,7
